HeritageItemID,SchoolName,HeritageTypeName,EndorsedSignificance,Suburb,Address,LocalGovtAreaName,ItemName,Latitude,Longitude,,,,
5064205,Cessnock High School,Built,1,Cessnock,49E Aberdare Road Cessnock 2325,Cessnock,Buildings B00A and B00B,-32.842954,151.368528,,,,
5064206,Cessnock East Public School,Built,1,Cessnock,360 Maitland Road Cessnock 2325,Cessnock,Building B00A,-32.827606,151.369746,,,,
5064207,Cessnock West Public School,Built,1,Cessnock,113 Alfred Street Cessnock 2325,Cessnock,Buildings B00A and B00E,-32.838387,151.344863,,,,
5064209,Ellalong Public School,Built,1,Ellalong,Helena Street Ellalong 2325,Cessnock,Building B00A and Memorial Gates,-32.914749,151.311974,,,,
5064210,Greta Public School,Built,1,Greta,2a Wyndham Street Greta 2334,Cessnock,Building B00A,-32.680083,151.38721,,,,
5064211,Kearsley Public School,Built,1,Kearsley,130 Caledonia Street Kearsley 2325,Cessnock,Building B00A and Memorial Gates,-32.857249,151.395921,,,,
5064212,Kitchener Public School,Built,1,Kitchener,35-58 Richmond Road Kitchener 2325,Cessnock,Building B00A,-32.87782,151.369977,,,,
5064216,Kurri Kurri Public School,Built,1,Kurri Kurri,202 Lang Street Kurri Kurri 2327,Cessnock,Buildings B00A-B00E,-32.821099,151.478156,,,,
5064223,Kurri Kurri High School,Movable / Collection,1,Kurri Kurri,11 Deakin Street Kurri Kurri 2327,Cessnock,Movable Item,-32.810142,151.486294,,,,
5064224,Laguna Public School,Built,1,Laguna,3738 Great North Road Laguna 2325,Cessnock,Building B00A,-32.992121,151.130526,,,,
5064225,Millfield Public School,Built,1,Millfield,129 Wollombi Road Millfield 2325,Cessnock,Buildings B00A and B00G and Memorial Gates,-32.889837,151.250774,,,,
5064226,Nukalba Public School,Built,1,Nulkaba,5 O'Connors Road Nulkaba 2325,Cessnock,Building B00A,,,,,,
5064227,Paxton Public School,Built,1,Paxton,20 Anderson Avenue Paxton 2325,Cessnock,Building B00A,-32.900993,151.284621,,,,
5064228,Pelaw Main Public School,Built,1,Pelaw Main,10-16 Abermain Street Pelaw Main 2327,Cessnock,Memorial Gates,-32.831923,151.484743,,,,
5064229,Weston Public School,Built,1,Weston,20-34 Sixth Street Weston 2326,Cessnock,Buildings B00A and B00E,-32.809043,151.461023,,,,
5064230,Wollombi Public School,Built,1,Wollombi,2847 Wollombi Road Wollombi 2325,Cessnock,"Buildings B00A, B00B, B00E, B00G and B00H",,,,,,
5064231,Wollombi Public School,Complex / Group,1,Wollombi,2847 Wollombi Road Wollombi 2325,Cessnock,,,,,,,
5064232,Chatsworth Island Public School,Built,1,Chatsworth Island,136-140 Chatsworth Road Chatsworth Island 2469,Clarence Valley,Buildings B00A and B00C,-29.387954,153.231645,,,,
5064235,Copmanhurst Public School,Built,1,Copmanhurst,11-13 Prescott Street Copmanhurst 2460,Clarence Valley,Buildings B00A and B00E,-29.584663,152.775537,,,,
5064236,Grafton High School,Built,1,Grafton,85-103 Mary Street Grafton 2460,Clarence Valley,Buildings B00D and B00L,-29.682105,152.932509,,,,
5064237,Grafton Administrative Office,Built,1,Grafton,85-103 Mary Street Grafton 2460,Clarence Valley,Buildings D01 and D03,,,,,,
5064243,Harwood Island Public School,Built,1,Harwood Island,Morpeth Street Harwood Island 2465,Clarence Valley,Buildings B00A and B00E,-29.425605,153.240299,,,,
5064290,Maclean Public School,Built,1,Maclean,Woodford Street Maclean 2463,Clarence Valley,Buildings B00B and B00J,-29.457217,153.201309,,,,
5064301,Chatsworth Island Public School,Complex / Group,1,Chatsworth Island,136-140 Chatsworth Road Chatsworth Island 2469,Clarence Valley,,-29.387954,153.231645,,,,
5064303,Grafton High School,Complex / Group,1,Grafton,85-103 Mary Street Grafton 2460,Clarence Valley,,-29.682105,152.932509,,,,
5064304,Grafton Administrative Office,Complex / Group,1,Grafton,85-103 Mary Street Grafton 2460,Clarence Valley,,,,,,,
5064305,Grafton High School,Complex / Group,1,Grafton,Bowtell Avenue Grafton 2460,Clarence Valley,Agricultural Plot 1,-29.682105,152.932509,,,,
5064308,Grafton High School,Complex / Group,1,Grafton,Bowtell Avenue Grafton 2460,Clarence Valley,Agricultural Plot 2,-29.682105,152.932509,,,,
5064309,Harwood Island Public School,Complex / Group,1,Harwood Island,Morpeth Street Harwood Island 2465,Clarence Valley,,-29.425605,153.240299,,,,
