HeritageItemID,ItemName,HeritageTypeName,HeritageGroupName,EndorsedSignificance,DataEntryStatus,AssessedSignificance,ListingNumber,OwnerCode1,OwnerCode2,OwnerCode3,AreaHectares,AboriginalAreaName,Suburb,Address,LocalGovtAreaName,StreetNumber,StreetName,Property
5065902,Clovelly Public School,Complex / Group,Education,1,Basic,1,6,11644,1573,Metro Central,1.16911,Dharug,Clovelly,3A Arden Street Clovelly 2031,Waverley,3A,Arden Street,1 1 1 605545
5067078,Rose Bay Secondary College - Building B00A,Built,,0,Basic,1,6,10958,8555,Metro Central,2.421,Eora,Rose Bay,36 Hardy Street Rose Bay 2029,Waverley,36,Hardy Street,1 1 1 122318
5065903,Euchareena Public School - Building B00B,Built,,1,Basic,1,5,13147,1869,Central West and Orana,0.7987,Wiradjuri,Euchareena,2 Walter Street Euchareena 2866,Wellington,2,Walter Street,1 163 1 756916
5065904,Geurie Public School - Building B00B,Built,,1,Basic,1,5,12726,1972,Central West and Orana,0.8585,Wiradjuri,Geurie,60 Narragal Street Geurie 2831,Wellington,60,Narragal Street,1 1 1 1239671
5065905,"Wellington Public School - Buildings B00A, B00E, B00F and B00T; Movable Item and Significant Tree",Built,,1,Basic,1,5,12442,3420,Central West and Orana,0.8094,Wiradjuri,Wellington,101-103 Arthur Street Wellington 2820,Wellington,101-103,Arthur Street,1 6 Section 79 1 759073
5065906,Wellington High School - Movable Item,Movable / Collection,,1,Basic,1,5,12443,8197,Central West and Orana,0.0771,Wiradjuri,Wellington,80-98 Whiteley Street Wellington 2820,Wellington,80-98,Whiteley Street,1 16 Section 89 1 759073
5065907,Wellington Public School,Complex / Group,Education,1,Basic,1,6,12442,3420,Central West and Orana,2.43857,Wiradjuri,Wellington,101-103 Arthur Street Wellington 2820,Wellington,101-103,Arthur Street,1 1 1 1067046
5065908,Wentworth Public School - Buildings B00F and B00G,Built,,1,Basic,1,5,12444,3421,Far West,0.6905,Mundi-Mundi,Wentworth,93-107 Darling Street Wentworth 2648,Wentworth,93-107,Darling Street,1 4 Section 29 1 759074
5065909,Chatswood Public School - Buildings B00A and B00B,Built,,1,Basic,1,5,11639,7409,Metro North,1.3355,Dharug,Chatswood,5 Centennial Avenue Chatswood 2067,Willoughby,5,Centennial Avenue,1 1 1 812207
5065910,Naremburn School - Building B00A,Built,,1,Basic,1,5,13188,5578,Metro North,0.1935,Guringai,Naremburn,250 Willoughby Road Naremburn 2065,Willoughby,250,Willoughby Road,1 1 1 862888
5065911,Northbridge Public School - Building B00A,Built,,1,Basic,1,5,10545,2761,Metro North,0.8094,Guringai,Northbridge,Sailors Bay Road Northbridge 2063,Willoughby,,Sailors Bay Road,2 362 1 752067
5065912,"Willoughby Girls High School - Building B00A, B00C and B00F",Built,,1,Basic,1,5,12818,8159,Metro North,1.2135,Dharug,Willoughby,151-161 Mowbray Road Willoughby 2068,Willoughby,151-161,Mowbray Road,1 1 1 782204
5065913,Willoughby Public School - Building B00C,Built,,1,Basic,1,5,12818,3499,Metro North,1.95581,Guringai,Willoughby,151-161 Mowbray Road Willoughby 2068,Willoughby,151-161,Mowbray Road,1 1-12 Section F 1 2631
5067088,Chatswood High School - Building B00J,Built,,0,Basic,1,6,10228,8232,Metro North,4.53,Eora,Chatswood,24 Centennial Avenue Chatswood 2067,Willoughby,24,Centennial Avenue,1 1 1 725204
5065914,Avoca Public School - Buildings B00A and B00F,Built,,1,Basic,1,5,11818,1081,South East and Tablelands,0.8094,Gandangara,Avoca,961 Sheepwash Drive Avoca 2577,Wingecarribee,961,Sheepwash Drive,1 291 1 751303
5065915,Berrima Public School - Buildings B00E and B00G,Built,,1,Basic,1,5,12332,1209,South East and Tablelands,1.8882,Gandangara,Berrima,Oxley Street Berrima 2577,Wingecarribee,,Oxley Street,1 1 1 782713
5065916,"Bowral Public School - Buildings B001-B003, B005, B006, B008-B010 and B012; Grounds and Movable Items",Built,,1,Basic,1,5,12385,1335,South East and Tablelands,1.432,Gandangara,Bowral,47 Bendooley Street Bowral 2576,Wingecarribee,47,Bendooley Street,1 1 1 802776
